ID,Kanji,Onyomi,Kunyomi,Meaning
739,苗,"びょう, みょう","なえ, なわ-","Seedling, Sapling, Shoot"
740,獣,じゅう,"けもの, けだもの","Animal, Beast"
741,哀,あい,"あわ.れ, あわ.れむ, かな.しい","Pathetic, Grief, Sorrow, Pathos, Pity, Sympathize"
742,跳,ちょう,"は.ねる, と.ぶ, -と.び","Hop, Leap Up, Spring, Jerk, Prance, Buck, Splash, Sputter, Snap"
743,匠,しょう,たくみ,"Artisan, Workman, Carpenter"
744,垂,すい,"た.れる, た.らす, た.れ, -た.れ, なんなんと.す","Droop, Suspend, Hang, Slouch"
745,蛇,"じゃ, だ, い, や",へび,"Snake, Serpent, Hard Drinker"
746,澄,ちょう,"す.む, す.ます, -す.ます","Lucidity, Be Clear, Clear, Clarify, Settle, Strain, Look Grave"
747,縫,ほう,ぬ.う,"Sew, Stitch, Embroider"
748,僧,そう,,"Buddhist Priest, Monk"
749,眺,ちょう,なが.める,"Stare, Watch, Look At, See, Scrutinize"
750,唐,とう,から,"T'ang, China, Foreign"
751,亘,"こう, かん, せん","わた.る, もと.める","Span, Range, Extend Over"
752,呉,ご,"く.れる, くれ","Give, Do Something For, Kingdom Of Wu"
753,凡,"ぼん, はん","およ.そ, おうよ.そ, すべ.て","Commonplace, Ordinary, Mediocre"
754,憩,けい,"いこ.い, いこ.う","Recess, Rest, Relax, Repose"
755,鄭,"てい, じょう",,An Ancient Chinese Province
756,芦,ろ,"あし, よし","Reed, Bullrush"
757,龍,"りゅう, りょう, ろう",たつ,"Dragon, Imperial"
758,媛,えん,ひめ,"Beautiful Woman, Princess"
759,溝,こう,みぞ,"Gutter, Ditch, Sewer, Drain, 10**32"
760,恭,きょう,うやうや.しい,"Respect, Reverent"
761,刈,"がい, かい",か.る,"Reap, Cut, Clip, Trim, Prune"
762,睡,すい,"ねむ.る, ねむ.い","Drowsy, Sleep, Die"
763,錯,"さく, しゃく",,"Confused, Mix, Be In Disorder"
764,伯,はく,,"Chief, Count, Earl, Uncle, Brazil"
765,笹,,ささ,"Bamboo Grass, (kokuji)"
766,穀,こく,,"Cereals, Grain"
767,柿,し,かき,Persimmon
768,陵,りょう,みささぎ,"Mausoleum, Imperial Tomb, Mound, Hill"
769,霧,"む, ぼう, ぶ",きり,"Fog, Mist"
770,魂,こん,"たましい, たま","Soul, Spirit"
771,弊,へい,,"Abuse, Evil, Vice, Breakage"
772,釧,せん,"くしろ, うでわ",Bracelet
773,妃,ひ,きさき,"Queen, Princess"
774,舶,はく,,"Liner, Ship"
775,餓,が,う.える,"Starve, Hungry, Thirst"
776,腎,じん,,Kidney
777,窮,"きゅう, きょう","きわ.める, きわ.まる, きわ.まり, きわ.み","Hard Up, Destitute, Suffer, Perplexed, Cornered"
778,掌,しょう,"てのひら, たなごころ","Manipulate, Rule, Administer, Conduct, Palm Of Hand"
779,麗,れい,"うるわ.しい, うら.らか","Lovely, Beautiful, Graceful, Resplendent"
780,綾,りん,あや,"Design, Figured Cloth, Twill"
781,臭,しゅう,"くさ.い, -くさ.い, にお.う, にお.い","Stinking, Ill-smelling, Suspicious Looking, Odor, Savor, Fragrance, Be Fragrant, Stink, Glow, Be Bright"
782,釜,ふ,かま,"Kettle, Cauldron, Iron Pot"
783,悦,えつ,"よろこ.ぶ, よろこ.ばす","Ecstasy, Joy, Rapture"
784,刃,"じん, にん","は, やいば, き.る","Blade, Sword, Edge"
785,縛,ばく,しば.る,"Truss, Arrest, Bind, Tie, Restrain"
786,暦,"れき, りゃく",こよみ,"Calendar, Almanac"
787,宜,ぎ,"よろ.しい, よろ.しく","Best Regards, Good"
788,盲,もう,めくら,"Blind, Blind Man, Ignoramus"
789,粋,すい,いき,"Chic, Style, Purity, Essence, Pith, Cream, Elite, Choice"
790,辱,じょく,はずかし.める,"Embarrass, Humiliate, Shame"
791,毅,"き, ぎ",つよ.い,Strong
792,轄,かつ,くさび,"Control, Wedge"
793,猿,えん,さる,Monkey
794,弦,げん,つる,"Bowstring, Chord, Hypotenuse"
795,嶌,とう,しま,Island
796,稔,"ねん, じん, にん","みの.る, みのり","Harvest, Ripen"
797,窒,ちつ,,"Plug Up, Obstruct"
798,炊,すい,"た.く, -だ.き","Cook, Boil"
799,洪,こう,,"Deluge, Flood, Vast"
800,摂,"せつ, しょう","おさ.める, かね.る, と.る","Vicarious, Surrogate, Act In Addition To, Take In, Absorb"
801,飽,ほう,"あ.きる, あ.かす, あ.く","Sated, Tired Of, Bored, Satiate"
802,函,かん,"はこ, い.れる",Box (archaic)
803,冗,じょう,,"Superfluous, Uselessness"
804,桃,とう,もも,Peach
805,狩,しゅ,"か.る, か.り, -が.り","Hunt, Raid, Gather"
806,朱,しゅ,あけ,"Vermilion, Cinnabar, Scarlet, Red, Bloody"
807,渦,か,うず,"Whirlpool, Eddy, Vortex"
808,紳,しん,,"Sire, Good Belt, Gentleman"
809,枢,"すう, しゅ","とぼそ, からくり","Hinge, Pivot, Door"
810,碑,ひ,いしぶみ,"Tombstone, Monument"
811,鍛,たん,きた.える,"Forge, Discipline, Train"
812,刀,とう,"かたな, そり","Sword, Saber, Knife"
813,鼓,こ,つづみ,"Drum, Beat, Rouse, Muster"
814,裸,ら,はだか,"Naked, Nude, Uncovered, Partially Clothed"
815,鴨,おう,"かも, あひる","Wild Duck, Easy Mark"
816,猶,"ゆう, ゆ",なお,"Furthermore, Still, Yet"
817,塊,"かい, け","かたまり, つちくれ","Clod, Lump, Chunk, Clot, Mass"
818,旋,せん,"め.ぐる, いばり","Rotation, Go Around"
819,弓,きゅう,ゆみ,"Bow, Bow (archery, Violin)"
820,幣,へい,ぬさ,"Cash, Bad Habit, Humble Prefix, Gift, Shinto Offerings Of Cloth, Rope, Cut Paper"
821,膜,まく,,Membrane
822,扇,せん,おうぎ,"Fan, Folding Fan"
823,脇,きょう,"わき, わけ","Armpit, The Other Way, Another Place, Flank, Supporting Role"
824,腸,ちょう,"はらわた, わた","Intestines, Guts, Bowels, Viscera"
825,槽,そう,ふね,"Vat, Tub, Tank"
826,鍋,か,なべ,"Pot, Pan, Kettle"
827,慈,じ,いつく.しむ,Mercy
828,樋,とう,"ひ, とい","Water Pipe, Gutter, Downspout, Conduit"
829,楊,よう,やなぎ,Willow
830,伐,"ばつ, はつ, か, ぼち","き.る, そむ.く, う.つ","Fell, Strike, Attack, Punish"
831,駿,"しゅん, すん",すぐ.れる,"A Good Horse, Speed, A Fast Person"
832,漬,し,"つ.ける, つ.かる, -づ.け, -づけ","Pickling, Soak, Moisten, Steep"
833,糾,きゅう,ただ.す,"Twist, Ask, Investigate, Verify"
834,亮,りょう,あきらか,"Clear, Help"
835,墳,ふん,,"Tomb, Mound"
836,坪,へい,つぼ,"Two-mat Area, Approx. Thirty-six Sq Ft"
837,紺,こん,,"Dark Blue, Navy"
838,慌,こう,"あわ.てる, あわ.ただしい","Disconcerted, Be Confused, Lose One's Head"
839,娯,ご,,"Recreation, Pleasure"
840,吾,ご,"われ, わが-, あ-","I, My, Our, One's Own"
841,椿,"ちん, ちゅん",つばき,Camellia
842,舌,ぜつ,した,"Tongue, Reed, Clapper"
843,羅,ら,うすもの,"Gauze, Thin Silk, Rome, Arrange, Spread Out"
844,峡,"きょう, こう",はざま,"Gorge, Ravine"
845,俸,ほう,,"Stipend, Salary"
846,厘,りん,,"Rin, 1/10 Sen, 1/10 Bu"
847,峰,ほう,"みね, ね","Summit, Peak"
848,圭,"けい, け",,"Square Jewel, Corner, Angle, Edge"
849,醸,じょう,かも.す,"Brew, Cause"
850,蓮,れん,"はす, はちす",Lotus
851,弔,ちょう,"とむら.う, とぶら.う","Condolences, Mourning, Funeral"
852,乙,"おつ, いつ","おと-, きのと","The Latter, Duplicate, Strange, Witty, Fishhook Radical (no. 5)"
853,倶,"ぐ, く",とも.に,Both
854,汁,じゅう,"しる, -しる, つゆ","Soup, Juice, Broth, Sap, Gravy, Pus"
855,尼,に,あま,Nun
856,遍,へん,あまね.く,"Everywhere, Times, Widely, Generally"
857,堺,かい,さかい,World
858,衡,こう,,"Equilibrium, Measuring Rod, Scale"
859,呆,ほう,"ほけ.る, ぼ.ける, あき.れる, おろか","Be Amazed, Disgusted, Shocked"
860,薫,くん,かお.る,"Send Forth Fragrance, Fragrant, Be Scented, Smoke (tobacco)"
861,瓦,が,"かわら, ぐらむ","Tile, Gram"
862,猟,りょう,"かり, か.る","Game-hunting, Shooting, Game, Bag"
863,羊,よう,ひつじ,Sheep
864,窪,"わ, あ","くぼ.む, くぼ.み, くぼ.まる, くぼ","Depression, Cave In, Sink, Become Hollow"
865,款,かん,,"Goodwill, Article, Section, Friendship, Collusion"
866,閲,えつ,けみ.する,"Review, Inspection, Revision"
867,雀,"じゃく, じゃん, さく, しゃく",すずめ,Sparrow
868,偵,てい,,Spy
869,喝,かつ,,"Hoarse, Scold"
870,敢,かん,"あ.えて, あ.えない, あ.えず","Daring, Brave, Bold, Sad, Tragic, Pitiful"
871,畠,,"はたけ, はた","Field, Farm, Garden, (kokuji)"
872,胎,たい,,"Womb, Uterus"
873,酵,こう,,Fermentation
874,憤,ふん,いきどお.る,"Aroused, Resent, Be Indignant, Anger"
875,豚,とん,ぶた,"Pork, Pig"
876,遮,しゃ,さえぎ.る,"Intercept, Interrupt, Obstruct"
877,扉,ひ,とびら,"Front Door, Title Page, Front Page"
878,硫,りゅう,,Sulphur
879,赦,しゃ,,"Pardon, Forgiveness"
880,挫,"ざ, さ","くじ.く, くじ.ける","Crush, Break, Sprain, Discourage"
881,窃,せつ,"ぬす.む, ひそ.か","Stealth, Steal, Secret, Private, Hushed"
882,泡,ほう,あわ,"Bubbles, Foam, Suds, Froth"
883,瑞,"ずい, すい","みず-, しるし",Congratulations
884,又,ゆう,"また, また-, また.の-","Or Again, Furthermore, On The Other Hand"
885,慨,がい,,"Rue, Be Sad, Sigh, Lament"
886,紡,ぼう,つむ.ぐ,Spinning
887,恨,こん,"うら.む, うら.めしい","Regret, Bear A Grudge, Resentment, Malice, Hatred"
888,肪,ぼう,,"Obese, Fat"
889,扶,ふ,たす.ける,"Aid, Help, Assist"
890,戯,"ぎ, げ","たわむ.れる, ざ.れる, じゃ.れる","Frolic, Play, Sport"
891,伍,ご,いつつ,"Five, Five-man Squad, File, Line"
892,忌,き,"い.む, い.み, い.まわしい","Mourning, Abhor, Detestable, Death Anniversary"
893,濁,"だく, じょく","にご.る, にご.す","Voiced, Uncleanness, Wrong, Nigori, Impurity"
894,奔,ほん,はし.る,"Run, Bustle"
895,斗,"と, とう",,"Big Dipper, Ten Sho (vol), Sake Dipper, Dots And Cross Radical (no. 68)"
896,蘭,"らん, ら",,"Orchid, Holland"
897,蒲,"ほ, ぼ, ふ, ぶ","がま, かば, かま","Bullrush, Flag, Cattail"
898,迅,じん,,"Swift, Fast"
899,肖,しょう,あやか.る,Resemblance
900,鉢,"はち, はつ",,"Bowl, Rice Tub, Pot, Crown"
901,朽,きゅう,く.ちる,"Decay, Rot, Remain In Seclusion"
902,殻,"かく, こく, ばい","から, がら","Husk, Nut Shell"
903,享,"きょう, こう",う.ける,"Enjoy, Receive, Undergo, Answer (phone), Take, Get, Catch"
904,秦,しん,はた,"Manchu Dynasty, Name Given To Naturalized Foreigners"
905,茅,"ぼう, みょう","かや, ちがや",Miscanthus Reed
906,藩,はん,,"Clan, Enclosure"
907,沙,"さ, しゃ","すな, よなげる",Sand
908,輔,"ほ, ふ",たす.ける,Help
909,媒,ばい,なこうど,"Mediator, Go-between"
910,鶏,けい,"にわとり, とり",Chicken
911,禅,"ぜん, せん","しずか, ゆず.る","Zen, Silent Meditation"
912,嘱,しょく,"しょく.する, たの.む","Entrust, Request, Send A Message"
913,胴,どう,,"Trunk, Torso, Hull (ship), Hub Of Wheel"
914,粕,はく,かす,"Scrap, Waste"
915,冨,"ふ, ふう","と.む, とみ","Enrich, Wealthy, Abundant"
916,迭,てつ,,"Transfer, Alternation"
917,挿,そう,"さ.す, はさ.む","Insert, Put In, Graft, Wear (sword)"
918,湘,しょう,,"Name Of Chinese River, The Sagami River"
919,嵐,らん,あらし,"Storm, Tempest"
920,椎,"つい, すい","つち, う.つ","Chinquapin, Mallet, Spine"
921,灘,"たん, だん","なだ, せ",Open Sea
922,堰,えん,"せき, せ.く","Dam, Prevent, Stop Up"
923,獅,し,しし,Lion
924,姜,"きょう, が",こう,"Chinese Surname, Ginger"
925,絹,けん,きぬ,Silk
926,陪,ばい,,"Obeisance, Follow, Accompany, Attend On"
927,剖,ぼう,,Divide
928,譜,ふ,,"Musical Score, Music, Note, Staff, Table, Genealogy"
929,郁,いく,,"Cultural Progress, Perfume"
930,悠,ゆう,,"Permanence, Distant, Long Time, Leisure"
931,淑,しゅく,しと.やか,"Graceful, Gentle, Pure"
932,帆,はん,ほ,Sail
933,暁,"ぎょう, きょう","あかつき, さと.る","Daybreak, Dawn, In The Event"
934,鷲,"しゅう, じゅ",わし,Eagle
935,傑,けつ,すぐ.れる,"Greatness, Excellence"
936,楠,"なん, だん, ぜん, ねん","くす, くすのき",Camphor Tree
937,笛,てき,ふえ,"Flute, Clarinet, Pipe, Whistle, Bagpipe, Piccolo"
938,芥,"かい, け","からし, ごみ, あくた","Mustard, Rape, Dust, Trash, Rubbish"
939,其,"き, ぎ, ご","それ, その",That
940,玲,れい,,Sound Of Jewels
941,奴,ど,"やつ, やっこ","Guy, Slave, Manservant, Fellow"
942,錠,じょう,,"Lock, Fetters, Shackles"
943,拳,"けん, げん",こぶし,Fist
944,翔,しょう,"かけ.る, と.ぶ","Soar, Fly"
945,遷,せん,"うつ.る, うつ.す, みやこがえ","Transition, Move, Change"
946,拙,せつ,つたな.い,"Bungling, Clumsy, Unskillful"
947,侍,"じ, し","さむらい, はべ.る","Waiter, Samurai, Wait Upon, Serve"
948,尺,しゃく,,"Shaku, Japanese Foot, Measure, Scale, Rule"
949,峠,,とうげ,"Mountain Peak, Mountain Pass, Climax, Crest, (kokuji)"
950,篤,とく,あつ.い,"Fervent, Kind, Cordial, Serious, Deliberate"
951,肇,"ちょう, じょう, とう","はじ.める, はじめ",Beginning
952,渇,かつ,かわ.く,"Thirst, Dry Up, Parch"
953,榎,か,えのき,"Lotus Tree, Nettle Tree, Hackberry"
954,劉,"りゅう, る",ころ.す,"Weapon Of War, Logging Axe, Kill En Masse, Peeling (paint Off A Wall, Etc), Sparse, Faded"
955,幡,"まん, はん, ばん, ほん",はた,Flag
956,諏,"しゅ, す","そう, はか.る",Consult
957,叔,しゅく,,"Uncle, Youth"
958,雌,し,"め-, めす, めん","Feminine, Female"
959,亨,"こう, きょう, ほう",とお.る,"Pass Through, Go Smoothly"
960,堪,"かん, たん","た.える, たま.る, こら.える, こた.える","Withstand, Endure, Support, Resist"
961,叙,じょ,"つい.ず, ついで","Confer, Relate, Narrate, Describe"
962,酢,さく,す,"Vinegar, Sour, Acid, Tart"
963,吟,ぎん,,"Versify, Singing, Recital"
964,逓,てい,"かわ.る, たがいに","Relay, In Turn, Sending"
965,痕,こん,あと,"Mark, Foot Print"
966,嶺,"れい, りょう",みね,"Peak, Summit"
967,袖,しゅう,そで,"Sleeve, Wing (building), Extension, Give Cold Shoulder"
968,甚,じん,"はなは.だ, はなは.だしい","Tremendously, Very, Great, Exceedingly"
969,喬,きょう,たか.い,"High, Boasting"
970,崔,"がい, さい, すい",がけ,"Cliff, Bluff, Precipice"
971,妖,よう,"あや.しい, なま.めく, わざわ.い","Attractive, Bewitching, Calamity"
972,琵,"び, ひ",,"Glissando On Strings, Lute"
973,琶,"は, べ, わ",,Lute
974,聯,れん,"つら.なる, つら.ねる","Party, Gang, Clique"
975,蘇,"そ, す",よみがえ.る,"Be Resuscitated, Revived, Perilla, Shiso"
976,闇,"あん, おん","やみ, くら.い","Get Dark, Gloom, Disorder"
977,崇,すう,あが.める,"Adore, Respect, Revere, Worship"
978,漆,しつ,うるし,"Lacquer, Varnish, Seven"
979,岬,こう,みさき,"Headland, Cape, Spit, Promontory"
980,癖,へき,"くせ, くせ.に","Mannerism, Habit, Vice, Trait, Fault, Kink"
981,愉,ゆ,"たの.しい, たの.しむ","Pleasure, Happy, Rejoice"
982,寅,いん,とら,"Sign Of The Tiger, 3-5am, Third Sign Of Chinese Zodiac"
983,捉,"そく, さく",とら.える,"Catch, Capture"
984,礁,しょう,,"Reef, Sunken Rock"
985,乃,"ない, だい, の, あい","の, すなわ.ち, なんじ","From, Possessive Particle, Whereupon, Accordingly"
986,洲,"しゅう, す",しま,"Continent, Sandbar, Island, Country"
987,屯,とん,たむろ,"Barracks, Police Station, Camp, Ton"
988,樽,そん,たる,"Barrel, Cask, Keg"
989,樺,か,"かば, かんば","Birch, Dark Red"
990,槙,"てん, しん","まき, こずえ","Twig, Ornamental Evergreen"
991,薩,"さつ, さち",,"Salvation, Buddha"
992,姻,いん,,"Matrimony, Marry"
993,巌,がん,"いわ, いわお, けわ.しい","Rock, Crag, Boulder"
994,淀,"てん, でん",よど.む,"Pool, Eddy"
995,麹,きく,こうじ,"Malt, Yeast"
996,賭,と,"か.ける, かけ","Gamble, Wager, Bet"
997,擬,ぎ,"まが.い, もど.き","Mimic, Aim (a Gun) At, Nominate, Imitate"
998,塀,"へい, べい",,"Fence, Wall, (kokuji)"
999,唇,しん,くちびる,Lips
1000,睦,"ぼく, もく","むつ.まじい, むつ.む, むつ.ぶ","Intimate, Friendly, Harmonious"
1001,閑,かん,,Leisure
1002,胡,"う, こ, ご",なんぞ,"Barbarian, Foreign"
1003,幽,ゆう,"ふか.い, かす.か, くら.い, しろ.い","Seclude, Confine To A Room, Deep, Profound, Secluded, Faint, Dark, Tranquil, Calm"
1004,峻,しゅん,"けわ.しい, たか.い","High, Steep"
1005,曹,"そう, ぞう",,"Office, Official, Comrade, Fellow"
1006,哨,しょう,みはり,"Scout, Sentinel"
1007,詠,えい,"よ.む, うた.う","Recitation, Poem, Song, Composing"
1008,炒,"そう, しょう","い.る, いた.める","Broil, Parch, Roast, Fry"
1009,屏,"へい, びょう","おお.う, しりぞ.く, びょう.ぶ","Wall, Fence"
1010,卑,ひ,"いや.しい, いや.しむ, いや.しめる","Lowly, Base, Vile, Vulgar"
1011,侮,ぶ,"あなど.る, あなず.る","Scorn, Despise, Make Light Of, Contempt"
1012,鋳,"ちゅう, い, しゅ, しゅう",い.る,"Casting, Mint"
1013,抹,まつ,,"Rub, Paint, Erase"
1014,尉,"い, じょう",,"Military Officer, Jailer, Old Man, Rank"
1015,槻,き,つき,Zelkova Tree
1016,隷,れい,"したが.う, しもべ","Slave, Servant, Prisoner, Criminal, Follower"
1017,禍,か,わざわい,"Calamity, Misfortune, Evil, Curse"
1018,蝶,ちょう,,Butterfly
1019,酪,らく,,"Dairy Products, Whey, Broth, Fruit Juice"
1020,茎,"けい, きょう",くき,"Stalk, Stem"
1021,汎,"はん, ぶ, ふう, ほう, ほん","ただよ.う, ひろ.い",Pan-
1022,頃,"けい, きょう","ころ, ごろ, しばら.く","Time, About, Toward"
1023,帥,すい,,"Commander, Leading Troops, Governor"
1024,梁,りょう,"はり, うつばり, うちばり, やな, はし","Weir, Fish Trap, Beam, Girder"
1025,逝,せい,"ゆ.く, い.く","Departed, Die"
1026,汽,き,,"Vapor, Steam"
1027,謎,"めい, べい",なぞ,"Riddle, Puzzle, Enigma, Hint, Tip"
1028,琢,たく,みが.く,Polish
1029,箕,き,み,Winnowing
1030,匿,とく,かくま.う,"Hide, Shelter, Shield"
1031,爪,そう,"つめ, つま-","Claw, Nail, Talon"
1032,芭,"ば, は",,Banana
1033,逗,"とう, ず",とど.まる,Stop
1034,苫,せん,とま,Rush Matting
1035,鍵,けん,かぎ,Key
1036,襟,きん,えり,"Collar, Neck, Lapel, One's Inner Feelings"
1037,蛍,けい,ほたる,"Lightning-bug, Firefly"
1038,楢,"しゅう, ゆう",なら,Oak
1039,蕉,しょう,,"Banana, Plantain"
1040,兜,"とう, と",かぶと,"Helmet, Head Piece"
1041,寡,か,,"Widow, Minority, Few"
1042,琉,"りゅう, る",,"Precious Stone, Gem, Lapis Lazuli"
1043,痢,り,,Diarrhea
1044,庸,よう,,"Commonplace, Ordinary, Employment"
1045,朋,ほう,とも,"Companion, Friend"
1046,坑,こう,,"Pit, Hole"
1047,姑,こ,"しゅうとめ, しゅうと, おば, しばらく",Mother-in-law
1048,烏,"う, お","からす, いずくんぞ, なんぞ","Crow, Raven"
1049,藍,らん,あい,Indigo
1050,僑,きょう,,Temporary Home
1051,賊,ぞく,,"Burglar, Rebel, Traitor, Robber"
1052,搾,さく,しぼ.る,Squeeze
1053,奄,えん,"おお.う, たちまち","Cover, Suffocate, Obstruct"
1054,臼,"きゅう, ぐ","うす, うすづ.く",Mortar
1055,畔,はん,"あぜ, くろ, ほとり","Paddy Ridge, Levee"
1056,遼,りょう,,Distant
1057,唄,ばい,"うた, うた.う","Song, Ballad"
1058,孔,"こう, く",あな,"Cavity, Hole, Slit, Very, Great, Exceedingly"
1059,橘,きつ,たちばな,Mandarin Orange
1060,漱,"そう, しゅう, す","くちすす.ぐ, くちそそ.ぐ, うがい, すす.ぐ","Gargle, Rinse Mouth"
1061,呂,"ろ, りょ",せぼね,"Spine, Backbone"
1062,桧,かい,"ひのき, ひ",Japanese Cypress
1063,拷,ごう,,"Torture, Beat"
1064,宋,そう,,"Dwell, Sung Dynasty"
1065,嬢,じょう,むすめ,"Lass, Girl, Miss, Daughter"
1066,苑,"えん, おん","その, う.つ","Garden, Farm, Park"
1067,巽,そん,たつみ,Southeast
1068,杜,"と, とう, ず","もり, ふさ.ぐ, やまなし","Woods, Grove"
1069,渓,けい,"たに, たにがわ","Mountain Stream, Valley"
1070,翁,おう,おきな,Venerable Old Man
1071,藝,"げい, うん","う.える, のり, わざ","Art, Craft, Performance, Acting, Trick, Stunt"
1072,廉,れん,,"Bargain, Reason, Charge, Suspicion, Point, Account, Purity, Honest, Low Price, Cheap, Rested, Contented, Peaceful"
1073,牙,"が, げ","きば, は","Tusk, Fang, Tusk Radical (no. 92)"
1074,謹,きん,つつし.む,"Discreet, Reverently, Humbly"
1075,瞳,"どう, とう",ひとみ,Pupil (of Eye)
1076,湧,"ゆう, よう, ゆ",わ.く,"Boil, Ferment, Seethe, Uproar, Breed"
1077,欣,"きん, ごん, こん","よろこ.ぶ, よろこ.び","Take Pleasure In, Rejoice"
1078,窯,よう,かま,"Kiln, Oven, Furnace"
1079,褒,ほう,ほ.める,"Praise, Extol"
1080,醜,しゅう,"みにく.い, しこ","Ugly, Unclean, Shame, Bad Looking"
1081,魏,ぎ,たか.い,"High, Large, Kingdom Of Wei"
1082,篇,へん,,"Volume, Chapter, Book, Editing, Compilation"
1083,升,しょう,ます,"Measuring Box, 1.8 Liter"
1084,此,し,"これ, この, ここ","This, Current, Next, Coming, Last, Past"
1085,峯,ほう,"みね, ね","Peak, Summit"
1086,殉,じゅん,,"Martyrdom, Follow By Resigning"
1087,煩,"はん, ぼん","わずら.う, わずら.わす, うるさ.がる, うるさ.い","Anxiety, Trouble, Worry, Pain, Ill, Annoy, Nuisance, Irksome"
1088,巴,は,"ともえ, うずまき",Comma-design
1089,禎,てい,さいわ.い,"Happiness, Blessed, Good Fortune, Auspicious"
1090,枕,"ちん, しん",まくら,Pillow
1091,劾,がい,,"Censure, Criminal Investigation"
1092,菩,ぼ,,"Kind Of Grass, Sacred Tree"
1093,堕,だ,"お.ちる, くず.す, くず.れる","Degenerate, Descend To, Lapse Into"
1094,丼,"とん, たん, しょう, せい",どんぶり,"Bowl, Bowl Of Food"
1095,租,そ,,"Tariff, Crop Tax, Borrowing"
1096,檜,かい,"ひのき, ひ",Japanese Cypress
1097,稜,"りょう, ろう","いつ, かど","Angle, Edge, Corner, Power, Majesty"
1098,牟,"ぼう, む",,"Pupil (eye), Moo (cow Sound)"
1099,桟,"さん, せん",かけはし,"Scaffold, Cleat, Frame, Jetty, Bolt (door)"
1100,榊,,さかき,"Sacred Shinto Tree, (kokuji)"
1101,錫,"せき, しゃく","すず, たま.う","Copper, Tin"
1102,荏,"じん, にん",,"Bean, Perilla, Herb, Soft, Pliable"
1103,惧,"く, ぐ",おそ.れる,"Fear, Be Afraid Of, Dread"
1104,倭,"わ, い","やまと, したが.う","Yamato, Ancient Japan"
1105,婿,せい,むこ,"Bridegroom, Son-in-law"
1106,慕,ぼ,した.う,"Pining, Yearn For, Love Dearly, Adore"
1107,廟,"びょう, みょう","たまや, みたまや, やしろ","Mausoleum, Shrine, Palace"
1108,銚,"ちょう, よう",なべ,Sake Bottle
1109,斐,"ひ, い",,"Beautiful, Patterned"
1110,罷,ひ,"まか.り-, や.める","Quit, Stop, Leave, Withdraw, Go"
1111,矯,きょう,た.める,"Rectify, Straighten, Correct, Reform, Cure, Control, Pretend, Falsify"
1112,某,ぼう,"それがし, なにがし","So-and-so, One, A Certain, That Person"
1113,囚,しゅう,とら.われる,"Captured, Criminal, Arrest, Catch"
1114,魁,かい,"さきがけ, かしら",Charging Ahead Of Others
1115,薮,そう,やぶ,"Thicket, Bush, Underbrush, Grove"
1116,虹,こう,にじ,Rainbow
1117,鴻,"こう, ごう","おおとり, ひしくい, おおがり","Large Bird, Wild Goose, Large, Great, Powerful, Prosperous"
1118,泌,"ひつ, ひ",,"Ooze, Flow, Soak In, Penetrate, Secrete"
1119,於,"お, よ","おい.て, お.ける, ああ, より","At, In, On, As For"
1120,赳,きゅう,,Strong And Brave
1121,漸,ぜん,"ようや.く, やや, ようよ.う, すす.む","Steadily, Gradually Advancing, Finally, Barely"
1122,逢,ほう,"あ.う, むか.える","Meeting, Tryst, Date, Rendezvous"
1123,凧,,"いかのぼり, たこ","Kite, (kokuji)"
1124,鵜,"てい, だい",う,Cormorant
1125,庵,あん,"いおり, いお","Hermitage, Retreat"
1126,膳,"ぜん, せん","かしわ, すす.める, そな.える","Small Low Table, Tray"
1127,蚊,ぶん,か,Mosquito
1128,葵,き,あおい,Hollyhock
1129,厄,やく,,"Unlucky, Misfortune, Bad Luck, Disaster"
1130,藻,そう,も,"Seaweed, Duckweed"
1131,萬,"まん, ばん",よろず,"Ten Thousand, 10,000"
1132,禄,ろく,"さいわ.い, ふち","Fief, Allowance, Pension, Grant, Happiness"
1133,孟,"もう, ぼう, みょう",かしら,"Chief, Beginning"
1134,鴈,がん,"かり, かりがね",Wild Goose
1135,狼,ろう,おおかみ,Wolf
1136,嫡,"ちゃく, てき",,"Legitimate Wife, Direct Descent (non-bastard)"
1137,呪,"じゅ, しゅ, しゅう, ず","まじな.う, のろ.い, まじな.い, のろ.う","Spell, Curse, Charm, Malediction"
1138,斬,"ざん, さん, せん, ぜん",き.る,"Beheading, Kill, Murder"
1139,尖,せん,"とが.る, さき, するど.い","Be Pointed, Sharp, Taper, Displeased, Angry, Edgy"
1140,翫,がん,もてあそ.ぶ,"Take Pleasure In, Play Instrument"
1141,嶽,がく,たけ,Peak
1142,尭,ぎょう,たか.い,"High, Far"
1143,怨,"えん, おん, うん","うら.む, うらみ, うら.めしい","Grudge, Show Resentment, Be Jealous"
1144,卿,"けい, きょう",きみ,"You, Lord, Secretary, State Minister"
1145,串,"かん, けん, せん","くし, つらぬ.く","Spit, Skewer"
1146,已,い,"や.む, すで.に, のみ, はなはだ","Stop, Halt, Previously, Already, Long Ago"
1147,嚇,かく,おど.す,"Menacing, Dignity, Majesty, Threaten"
1148,巳,し,み,"Sign Of The Snake Or Serpent, 9-11am, Sixth Sign Of Chinese Zodiac"
1149,凸,とつ,でこ,"Convex, Beetle Brow, Uneven"
1150,暢,ちょう,のび.る,Stretch
1151,腫,"しゅ, しょう","は.れる, は.れ, は.らす, く.む, はれもの","Tumor, Swelling"
1152,粟,"ぞく, しょく, そく","あわ, もみ",Millet
